"Index Name","Date","Open","High","Low","Close"
"NIFTY50 EQUAL WEIGHT","31 Jan 2007","","","","4789.30"
"NIFTY50 EQUAL WEIGHT","29 Jan 2007","","","","4844.10"
"NIFTY50 EQUAL WEIGHT","25 Jan 2007","","","","4870.40"
"NIFTY50 EQUAL WEIGHT","24 Jan 2007","","","","4812.30"
"NIFTY50 EQUAL WEIGHT","23 Jan 2007","","","","4795.20"
"NIFTY50 EQUAL WEIGHT","22 Jan 2007","","","","4844.60"
"NIFTY50 EQUAL WEIGHT","19 Jan 2007","","","","4828.10"
"NIFTY50 EQUAL WEIGHT","18 Jan 2007","","","","4855.60"
"NIFTY50 EQUAL WEIGHT","17 Jan 2007","","","","4819.80"
"NIFTY50 EQUAL WEIGHT","16 Jan 2007","","","","4796.80"
"NIFTY50 EQUAL WEIGHT","15 Jan 2007","","","","4798.10"
"NIFTY50 EQUAL WEIGHT","12 Jan 2007","","","","4757.40"
"NIFTY50 EQUAL WEIGHT","11 Jan 2007","","","","4639.00"
"NIFTY50 EQUAL WEIGHT","10 Jan 2007","","","","4543.40"
"NIFTY50 EQUAL WEIGHT","09 Jan 2007","","","","4607.60"
"NIFTY50 EQUAL WEIGHT","08 Jan 2007","","","","4644.20"
"NIFTY50 EQUAL WEIGHT","05 Jan 2007","","","","4695.20"
"NIFTY50 EQUAL WEIGHT","04 Jan 2007","","","","4714.70"
"NIFTY50 EQUAL WEIGHT","03 Jan 2007","","","","4744.90"
"NIFTY50 EQUAL WEIGHT","02 Jan 2007","","","","4727.60"
"NIFTY50 EQUAL WEIGHT","29 Dec 2006","","","","4675.40"
"NIFTY50 EQUAL WEIGHT","28 Dec 2006","","","","4664.20"
"NIFTY50 EQUAL WEIGHT","27 Dec 2006","","","","4668.40"
"NIFTY50 EQUAL WEIGHT","26 Dec 2006","","","","4624.70"
"NIFTY50 EQUAL WEIGHT","22 Dec 2006","","","","4549.90"
"NIFTY50 EQUAL WEIGHT","21 Dec 2006","","","","4500.80"
"NIFTY50 EQUAL WEIGHT","20 Dec 2006","","","","4485.10"
"NIFTY50 EQUAL WEIGHT","19 Dec 2006","","","","4509.80"
"NIFTY50 EQUAL WEIGHT","18 Dec 2006","","","","4612.90"
"NIFTY50 EQUAL WEIGHT","15 Dec 2006","","","","4575.50"
"NIFTY50 EQUAL WEIGHT","14 Dec 2006","","","","4523.30"
"NIFTY50 EQUAL WEIGHT","13 Dec 2006","","","","4430.20"
"NIFTY50 EQUAL WEIGHT","12 Dec 2006","","","","4359.40"
"NIFTY50 EQUAL WEIGHT","11 Dec 2006","","","","4524.00"
"NIFTY50 EQUAL WEIGHT","08 Dec 2006","","","","4680.90"
"NIFTY50 EQUAL WEIGHT","07 Dec 2006","","","","4735.50"
"NIFTY50 EQUAL WEIGHT","06 Dec 2006","","","","4728.20"
"NIFTY50 EQUAL WEIGHT","05 Dec 2006","","","","4750.50"
"NIFTY50 EQUAL WEIGHT","04 Dec 2006","","","","4749.40"
"NIFTY50 EQUAL WEIGHT","01 Dec 2006","","","","4735.70"
"NIFTY50 EQUAL WEIGHT","30 Nov 2006","","","","4670.60"
"NIFTY50 EQUAL WEIGHT","29 Nov 2006","","","","4665.20"
"NIFTY50 EQUAL WEIGHT","28 Nov 2006","","","","4648.80"
"NIFTY50 EQUAL WEIGHT","27 Nov 2006","","","","4709.80"
"NIFTY50 EQUAL WEIGHT","24 Nov 2006","","","","4700.90"
"NIFTY50 EQUAL WEIGHT","23 Nov 2006","","","","4692.40"
"NIFTY50 EQUAL WEIGHT","22 Nov 2006","","","","4686.00"
"NIFTY50 EQUAL WEIGHT","21 Nov 2006","","","","4638.20"
"NIFTY50 EQUAL WEIGHT","20 Nov 2006","","","","4564.60"
"NIFTY50 EQUAL WEIGHT","17 Nov 2006","","","","4585.20"
