"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","18 Jul 2017","-","-","-","14211.50"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","17 Jul 2017","-","-","-","14297.95"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","14 Jul 2017","-","-","-","14289.03"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","13 Jul 2017","-","-","-","14334.29"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","12 Jul 2017","-","-","-","14316.70"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","11 Jul 2017","-","-","-","14208.70"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","10 Jul 2017","-","-","-","14298.67"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","07 Jul 2017","-","-","-","14231.43"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","06 Jul 2017","-","-","-","14204.33"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 Jul 2017","-","-","-","14174.53"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","04 Jul 2017","-","-","-","13999.54"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","03 Jul 2017","-","-","-","13990.47"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","30 Jun 2017","-","-","-","13809.41"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","29 Jun 2017","-","-","-","13786.09"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","28 Jun 2017","-","-","-","13649.06"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","27 Jun 2017","-","-","-","13604.32"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","23 Jun 2017","-","-","-","13899.15"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","22 Jun 2017","-","-","-","14158.15"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","21 Jun 2017","-","-","-","14242.88"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","20 Jun 2017","-","-","-","14256.94"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","19 Jun 2017","-","-","-","14251.67"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","16 Jun 2017","-","-","-","14273.44"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","15 Jun 2017","-","-","-","14231.74"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","14 Jun 2017","-","-","-","14212.37"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","13 Jun 2017","-","-","-","14203.22"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","12 Jun 2017","-","-","-","14152.81"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","09 Jun 2017","-","-","-","14250.64"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","08 Jun 2017","-","-","-","14176.43"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","07 Jun 2017","-","-","-","14110.86"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","06 Jun 2017","-","-","-","14026.01"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 Jun 2017","-","-","-","14138.56"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","02 Jun 2017","-","-","-","14061.52"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","01 Jun 2017","-","-","-","13994.61"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","31 May 2017","-","-","-","13823.56"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","30 May 2017","-","-","-","13642.74"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","29 May 2017","-","-","-","13614.61"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","26 May 2017","-","-","-","13766.72"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","25 May 2017","-","-","-","13464.52"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","24 May 2017","-","-","-","13177.06"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","23 May 2017","-","-","-","13401.01"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","22 May 2017","-","-","-","13678.06"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","19 May 2017","-","-","-","13890.57"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","18 May 2017","-","-","-","14002.91"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","17 May 2017","-","-","-","14320.50"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","16 May 2017","-","-","-","14315.10"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","15 May 2017","-","-","-","14216.62"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","12 May 2017","-","-","-","14095.22"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","11 May 2017","-","-","-","14209.44"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","10 May 2017","-","-","-","14237.11"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","09 May 2017","-","-","-","14114.31"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","08 May 2017","-","-","-","14078.58"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 May 2017","-","-","-","13964.95"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","04 May 2017","-","-","-","14100.60"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","03 May 2017","-","-","-","14027.68"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","02 May 2017","-","-","-","13962.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","28 Apr 2017","-","-","-","13791.54"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","27 Apr 2017","-","-","-","13665.01"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","26 Apr 2017","-","-","-","13662.41"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","25 Apr 2017","-","-","-","13768.96"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","24 Apr 2017","-","-","-","13631.16"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","21 Apr 2017","-","-","-","13523.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","20 Apr 2017","-","-","-","13435.62"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","19 Apr 2017","-","-","-","13238.45"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","18 Apr 2017","-","-","-","13163.61"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","17 Apr 2017","-","-","-","13258.40"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","13 Apr 2017","-","-","-","13262.12"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","12 Apr 2017","-","-","-","13267.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","11 Apr 2017","-","-","-","13281.52"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","10 Apr 2017","-","-","-","13100.09"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","07 Apr 2017","-","-","-","13026.01"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","06 Apr 2017","-","-","-","13112.65"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 Apr 2017","-","-","-","13185.80"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","03 Apr 2017","-","-","-","13120.23"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","31 Mar 2017","-","-","-","12950.59"
